league,team,players_used,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url
FRA-Ligue 1,Nantes,27,27.1,40.4,19,209,1710,19,22,16,38,19,3,3,39,1,20.9,18.5,14.4,32.9,296,640,1.16,0.84,2.0,1.0,1.84,1.1,0.76,1.86,0.97,1.73,/en/squads/d7a486cd/Nantes-Stats
FRA-Ligue 1,Nice,29,26.5,46.3,19,209,1710,19,36,24,60,33,3,3,38,2,33.9,31.6,22.5,54.1,390,685,1.89,1.26,3.16,1.74,3.0,1.79,1.19,2.97,1.66,2.85,/en/squads/132ebc33/Nice-Stats
FRA-Ligue 1,Paris S-G,24,24.3,68.7,19,209,1710,19,47,36,83,43,4,4,24,0,48.2,45.1,38.6,83.6,556,1176,2.47,1.89,4.37,2.26,4.16,2.54,2.03,4.57,2.37,4.4,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
FRA-Ligue 1,Reims,27,25.5,45.4,19,209,1710,19,25,12,37,24,1,1,42,1,22.6,21.8,15.2,37.0,340,687,1.32,0.63,1.95,1.26,1.89,1.19,0.8,1.99,1.15,1.95,/en/squads/7fdd64e0/Reims-Stats
FRA-Ligue 1,Rennes,26,26.4,51.4,19,209,1710,19,26,14,40,22,4,5,40,1,23.3,19.9,12.5,32.4,350,830,1.37,0.74,2.11,1.16,1.89,1.22,0.66,1.88,1.05,1.71,/en/squads/b3072e00/Rennes-Stats
FRA-Ligue 1,Saint-Étienne,29,26.4,45.2,19,209,1710,19,18,12,30,16,2,2,39,1,19.5,18.0,13.1,31.1,276,592,0.95,0.63,1.58,0.84,1.47,1.03,0.69,1.72,0.95,1.64,/en/squads/d298ef2c/Saint-Etienne-Stats
FRA-Ligue 1,Strasbourg,27,22.1,48.3,19,209,1710,19,32,24,56,30,2,2,43,0,27.5,25.9,20.7,46.6,299,614,1.68,1.26,2.95,1.58,2.84,1.45,1.09,2.54,1.37,2.45,/en/squads/c0d3eab4/Strasbourg-Stats
FRA-Ligue 1,Toulouse,24,25.8,45.8,19,209,1710,19,18,15,33,16,2,3,28,1,26.9,24.5,19.6,44.1,322,719,0.95,0.79,1.74,0.84,1.63,1.41,1.03,2.45,1.29,2.32,/en/squads/3f8c4b5f/Toulouse-Stats
GER-Bundesliga,Augsburg,28,27.3,43.5,19,209,1710,19,23,15,38,22,1,2,51,2,20.2,18.6,13.3,31.9,240,647,1.21,0.79,2.0,1.16,1.95,1.06,0.7,1.76,0.98,1.68,/en/squads/0cdc4311/Augsburg-Stats
GER-Bundesliga,Bayern Munich,25,28.4,70.7,19,209,1710,19,56,36,92,49,7,7,29,0,46.2,40.8,32.7,73.6,495,1241,2.95,1.89,4.84,2.58,4.47,2.43,1.72,4.15,2.15,3.87,/en/squads/054efa67/Bayern-Munich-Stats
GER-Bundesliga,Bochum,23,28.7,43.2,19,209,1710,19,17,13,30,16,1,2,37,1,22.0,20.4,17.0,37.5,207,560,0.89,0.68,1.58,0.84,1.53,1.16,0.9,2.05,1.08,1.97,/en/squads/b42c6323/Bochum-Stats
GER-Bundesliga,Dortmund,25,27.0,59.5,19,209,1710,19,33,24,57,29,4,4,45,5,26.7,23.7,20.0,43.7,391,822,1.74,1.26,3.0,1.53,2.79,1.41,1.05,2.46,1.25,2.3,/en/squads/add600ae/Dortmund-Stats
GER-Bundesliga,Eint Frankfurt,24,25.7,49.4,19,209,1710,19,44,30,74,41,3,3,30,1,37.4,35.0,26.9,61.9,356,732,2.32,1.58,3.89,2.16,3.74,1.97,1.42,3.38,1.84,3.26,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
GER-Bundesliga,Freiburg,25,27.9,47.8,19,209,1710,19,25,18,43,25,0,3,31,2,23.3,21.0,14.4,35.4,242,607,1.32,0.95,2.26,1.32,2.26,1.23,0.76,1.99,1.11,1.86,/en/squads/a486e511/Freiburg-Stats
GER-Bundesliga,Gladbach,23,27.2,51.0,19,209,1710,19,29,22,51,27,2,3,31,1,29.3,26.8,22.2,49.0,291,632,1.53,1.16,2.68,1.42,2.58,1.54,1.17,2.71,1.41,2.58,/en/squads/32f3ee20/Monchengladbach-Stats
GER-Bundesliga,Heidenheim,25,27.3,43.6,19,209,1710,19,24,15,39,21,3,3,38,1,25.2,22.8,17.8,40.6,282,553,1.26,0.79,2.05,1.11,1.89,1.33,0.94,2.26,1.2,2.14,/en/squads/18d9d2a7/Heidenheim-Stats
GER-Bundesliga,Hoffenheim,31,27.2,49.7,19,209,1710,19,25,14,39,23,2,2,37,1,24.9,23.4,19.0,42.3,274,728,1.32,0.74,2.05,1.21,1.95,1.31,1.0,2.31,1.23,2.23,/en/squads/033ea6b8/Hoffenheim-Stats
GER-Bundesliga,Holstein Kiel,25,26.1,43.1,19,209,1710,19,28,18,46,26,2,3,47,3,20.9,18.5,13.8,32.3,197,489,1.47,0.95,2.42,1.37,2.32,1.1,0.73,1.82,0.97,1.7,/en/squads/2ac661d9/Holstein-Kiel-Stats
GER-Bundesliga,Leverkusen,21,27.5,58.7,19,209,1710,19,45,35,80,43,2,5,31,0,36.5,32.4,25.8,58.2,388,981,2.37,1.84,4.21,2.26,4.11,1.92,1.36,3.27,1.71,3.06,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
GER-Bundesliga,Mainz 05,22,28.2,47.9,19,209,1710,19,31,22,53,28,3,3,44,3,26.9,24.6,20.4,45.0,246,675,1.63,1.16,2.79,1.47,2.63,1.42,1.08,2.49,1.29,2.37,/en/squads/a224b06a/Mainz-05-Stats
GER-Bundesliga,RB Leipzig,27,26.3,51.4,19,209,1710,19,32,22,54,31,1,2,38,3,26.6,25.0,21.6,46.6,289,749,1.68,1.16,2.84,1.63,2.79,1.4,1.14,2.54,1.32,2.45,/en/squads/acbb6a5b/RB-Leipzig-Stats
GER-Bundesliga,St. Pauli,26,27.7,43.6,19,209,1710,19,17,15,32,16,1,2,29,1,21.3,19.6,16.8,36.4,238,611,0.89,0.79,1.68,0.84,1.63,1.12,0.88,2.0,1.03,1.92,/en/squads/54864664/St-Pauli-Stats
